company,latitude,longitude,province,amphur,tumbon
Shell,13.71854,100.5674,กรุงเทพมหานคร,คลองเตย,คลองตัน
PTT,13.74187153,100.5528053,กรุงเทพมหานคร,คลองเตย,คลองเตย
PTT,13.69831655,100.5880371,กรุงเทพมหานคร,คลองเตย,คลองเตย
Shell,13.71783,100.5664,กรุงเทพมหานคร,คลองเตย,คลองเตย
PTG,13.74198,100.5528,กรุงเทพมหานคร,คลองเตย,คลองเตย
PTT,13.71347,100.58208,กรุงเทพมหานคร,คลองเตย,พระโขนง
PTT,13.71244259,100.5893911,กรุงเทพมหานคร,คลองเตย,พระโขนง
BCP,13.72047,100.50122,กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง
BCP,13.711616,100.500592,กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง
Shell,13.71093,100.4977,กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง
Shell,13.71629,100.5072,กรุงเทพมหานคร,คลองสาน,บางลำภูล่าง
BCP,13.728989,100.499421,กรุงเทพมหานคร,คลองสาน,สมเด็จเจ้าพระยา
PTT,13.846184,100.732966,กรุงเทพมหานคร,คลองสามวา,ทรายกองดิน
BCP,13.84041343,100.734458,กรุงเทพมหานคร,คลองสามวา,ทรายกองดิน
PTT,13.824184,100.746215,กรุงเทพมหานคร,คลองสามวา,ทรายกองดินใต้
PTT,13.850782,100.721122,กรุงเทพมหานคร,คลองสามวา,บางชัน
PTT,13.860291,100.700888,กรุงเทพมหานคร,คลองสามวา,บางชัน
PTT,13.856787,100.681472,กรุงเทพมหานคร,คลองสามวา,บางชัน
BCP,13.820277,100.699135,กรุงเทพมหานคร,คลองสามวา,บางชัน
Susco,13.85954728,100.6996145,กรุงเทพมหานคร,คลองสามวา,บางชัน
Shell,13.85611,100.6764,กรุงเทพมหานคร,คลองสามวา,บางชัน
PTT,13.893017,100.722217,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก
PTT,13.865283,100.691575,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก
PTG,13.91121,100.7214,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันตก
PTT,13.90078559,100.7356223,กรุงเทพมหานคร,คลองสามวา,สามวาตะวันออก
PTT,13.81845865,100.6842304,กรุงเทพมหานคร,คันนายาว,คันนายาว
PTT,13.833029,100.678153,กรุงเทพมหานคร,คันนายาว,คันนายาว
PTT,13.78805378,100.6778879,กรุงเทพมหานคร,คันนายาว,รามอินทรา
PTT,13.8472,100.6474,กรุงเทพมหานคร,คันนายาว,รามอินทรา
BCP,13.844191,100.66358,กรุงเทพมหานคร,คันนายาว,รามอินทรา
BCP,13.832593,100.669182,กรุงเทพมหานคร,คันนายาว,รามอินทรา
PTT,13.82537346,100.5587582,กรุงเทพมหานคร,จตุจักร,จตุจักร
PTT,13.80876192,100.5483445,กรุงเทพมหานคร,จตุจักร,จตุจักร
PTT,13.81666434,100.558197,กรุงเทพมหานคร,จตุจักร,จตุจักร
PTT,13.820901,100.557791,กรุงเทพมหานคร,จตุจักร,จตุจักร
BCP,13.82363,100.55735,กรุงเทพมหานคร,จตุจักร,จตุจักร
BCP,13.8261,100.55035,กรุงเทพมหานคร,จตุจักร,จตุจักร
PTG,13.82613,100.5587,กรุงเทพมหานคร,จตุจักร,จตุจักร
PTT,13.81714201,100.5751628,กรุงเทพมหานคร,จตุจักร,จอมพล
PTT,13.80497359,100.5762347,กรุงเทพมหานคร,จตุจักร,จันทรเกษม
BCP,13.834282,100.582599,กรุงเทพมหานคร,จตุจักร,จันทรเกษม
PTG,13.8206,100.5755,กรุงเทพมหานคร,จตุจักร,จันทรเกษม
PTT,13.85000334,100.5727253,กรุงเทพมหานคร,จตุจักร,ลาดยาว
Shell,13.82307,100.5742,กรุงเทพมหานคร,จตุจักร,ลาดยาว
Shell,13.82988,100.5632,กรุงเทพมหานคร,จตุจักร,ลาดยาว
Shell,13.84108,100.5589,กรุงเทพมหานคร,จตุจักร,ลาดยาว
PTT,13.69452125,100.4791138,กรุงเทพมหานคร,จอมทอง,จอมทอง
BCP,13.704107,100.446598,กรุงเทพมหานคร,จอมทอง,บางขุนเทียน
PTG,13.7001,100.4616,กรุงเทพมหานคร,จอมทอง,บางขุุนเทียน
BCP,13.67117,100.47029,กรุงเทพมหานคร,จอมทอง,บางมด
BCP,13.6834,100.46418,กรุงเทพมหานคร,จอมทอง,บางมด
PTT,13.70059317,100.443551,กรุงเทพมหานคร,จอมทอง,BANGKHUNTHIEN
PTT,13.91505,100.58665,กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง
PTT,13.93274231,100.5695801,กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง
BCP,13.906485,100.580374,กรุงเทพมหานคร,ดอนเมือง,ดอนเมือง
PTT,13.89823626,100.5902826,กรุงเทพมหานคร,ดอนเมือง,สนามบิน
PTT,13.90959,100.596884,กรุงเทพมหานคร,ดอนเมือง,สนามบิน
BCP,13.936793,100.62448,กรุงเทพมหานคร,ดอนเมือง,สนามบิน
